Product ID,Label,Type,Price,Benefit ID,Benefit Label,Period ID,Period Label,Include For Payments,Exclude For Payments,Total Payments,Commissionable Amount,Is Display Online,Display Start,Display Stop,State,First 3 of Zipcode,Full Zipcode,Member Age Minimum,Member Age Maximum,Member Smoker,Member Gender,Member Height Minimum,Member Height Maximum,Member Weight Minimum,Member Weight Maximum,Has Spouse,Spouse Age Minimum,Spouse Age Maximum,Spouse Smoker,Spouse Gender,Spouse Height Minimum,Spouse Height Maximum,Spouse Weight Minimum,Spouse Weight Maximum,Child Count Minimum,Child Count Maximum
42465,DIRECT ,Tobacco Use,50.0,,,1,Monthly,,1.0,,,Yes,,,Default,,,,,Yes,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Enrollment,100.0,,,7,One-Time,1,,,100.0,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Annual Membership,25.0,9493.0,$25 Annual Membership Fee,5,Annual,"1, 13, 25, 37, 49, 61, 73, 85, 97",,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,268.0,3281.0,Member Only - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,298.0,3281.0,Member Only - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,381.0,3281.0,Member Only - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,50.0,64.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,203.0,3279.0,Member Only - $2500 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,216.0,3279.0,Member Only - $2500 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,318.0,3279.0,Member Only - $2500 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,50.0,64.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,166.0,3278.0,Member Only - $5000 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,193.0,3278.0,Member Only - $5000 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,247.0,3278.0,Member Only - $5000 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,50.0,64.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,467.0,3283.0,Member + Spouse - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,494.0,3283.0,Member + Spouse - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,668.0,3283.0,Member + Spouse - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,50.0,64.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,344.0,3285.0,Member + Spouse - $2500 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,387.0,3285.0,Member + Spouse - $2500 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,537.0,3285.0,Member + Spouse - $2500 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,50.0,64.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,284.0,3286.0,Member + Spouse - $5000 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,341.0,3286.0,Member + Spouse - $5000 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,442.0,3286.0,Member + Spouse - $5000 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,50.0,64.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,495.0,3288.0,Member + Children - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,18.0,29.0,No,,,,,,No,,,No,,,,,,,
42465,DIRECT ,Product,540.0,3288.0,Member + Children - $1250 IUA,1,Monthly,,1.0,,,Yes,,,Default,,,30.0,49.0,No,,,,,,No,,,No,,,,,,,
